,title,company,location,pay,rating,job
350,newHuman Resources (HR) Systems & Data Analyst,Canadian Red Cross,Remote,"$53,634–$78,216 a year",4.0,Data Analyst
351,ECON 24R - Economic Analyst,BC Public Service,"Victoria, BC",,3.4,Data Analyst
352,newData Analyst,University of Alberta,"Hybrid remote in Edmonton, AB","$54,531–$74,751 a year",4.3,Data Analyst
353,newData Analyst,Wellington-Altus Private Wealth,"Winnipeg, MB",,2.0,Data Analyst
354,GIS Analyst,NRBN,"Niagara Falls, ON",,,Data Analyst
355,"Quantitative Investments Analyst, Officer - Open to Hybrid a...",State Street,"Remote in Toronto, ON",,3.5,Data Analyst
356,newOperation Analyst,CIBC,"Toronto, ON",,3.8,Data Analyst
357,"Senior Analyst, Business- Special Projects",Ontario Health,"Toronto, ON",,4.3,Data Analyst
358,People Services Data Analyst - GO Rail Expansion (RER),Aecon Group,"Toronto, ON",,4.0,Data Analyst
359,Data Analyst,JNP Logiciel International Inc.,"Remote in Montréal, QC","$32,240 a year",,Data Analyst
360,"Senior Analyst, Business- Special Projects",Ontario Health,"Toronto, ON",,4.3,Data Analyst
361,People Services Data Analyst - GO Rail Expansion (RER),Aecon Group,"Toronto, ON",,4.0,Data Analyst
362,Data Analyst,JNP Logiciel International Inc.,"Remote in Montréal, QC","$32,240 a year",,Data Analyst
363,Senior Operations Analyst,Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
364,Senior Data Analyst,Workplace Safety and Insurance Board,"Toronto, ON",,3.8,Data Analyst
365,QA Analyst,CaseWare IDEA,Canada,,,Data Analyst
366,Data Analyst,eSSENTIAL Accessibility,"Toronto, ON",,,Data Analyst
367,Policy Analyst (Remote)- First Peoples Wellness Circle,Tulloch Consulting,Remote,,,Data Analyst
368,"Innovation Researcher and Analyst, Advisory",KPMG,"Toronto, ON",,3.9,Data Analyst
369,newBusiness Data Analyst - Power BI,Chubb Fire & Security Canada Corporation,"Mississauga, ON",,3.3,Data Analyst
370,"Fall 2022 Student Opportunities, Business/Operations Analyst...",Royal Bank of Canada,"Temporarily Remote in Toronto, ON",,4.0,Data Analyst
371,Business Analyst,Priceline.com,"Toronto, ON",,,Data Analyst
372,Business Analyst,N-able,"Remote in Ottawa, ON",,,Data Analyst
373,Lead Data Analyst,EDealer,"Toronto, ON",,2.8,Data Analyst
374,"newInsider Threat Analyst (Consultant), Deloitte Global Risk",Deloitte,"Toronto, ON",,4.0,Data Analyst
375,Business Analyst 3,FortisBC,"Trail, BC",$42.91 an hour,3.4,Data Analyst
376,Junior Business Analyst,Genpact,"Temporarily Remote in Montréal, QC",,,Data Analyst
377,IT Quality Analyst,Citi,"Mississauga, ON",,3.9,Data Analyst
378,Transfer Pricing Analyst,BDO,"Remote in Vancouver, BC",,3.6,Data Analyst
379,Supply Chain Analyst,dahl Valve Limited,"Mississauga, ON","From $65,000 a year",2.0,Data Analyst
380,Data Quality Analyst,ICES Central,"Remote in Toronto, ON",,,Data Analyst
381,Operations Analyst - New Grad Program,Toronto Hydro,"Toronto, ON",,4.1,Data Analyst
382,Data analyst developer,Alfaconseil,"Remote in Montréal, QC","$51,324–$90,000 a year",,Data Analyst
383,"Data Analyst, Inventory Partnerships (Toronto)",StackAdapt,Canada,,4.5,Data Analyst
384,COOP LVL 2 - Forest Inventory Data Analyst,BC Public Service,"Victoria, BC",,3.4,Data Analyst
385,Data Security Analyst,Concentra Bank,Temporarily Remote in Canada,,4.0,Data Analyst
386,"Internal Control - Regulatory Controls, Regulatory Data Anal...",Scotiabank,"Toronto, ON",,3.9,Data Analyst
387,"newAnalyst, Digital Product and Customer Analytics",Canadian Tire Corporation,"Toronto, ON",,3.6,Data Analyst
388,Data Analyst,McGill University,"Montréal, QC",,4.3,Data Analyst
389,newJunior Systems Analyst - Co-Op Student,CGI,"Calgary, AB",,3.6,Data Analyst
390,Senior Data Analyst,Aviva,"Toronto, ON+1 location",,3.8,Data Analyst
391,newBusiness Process Analyst,York University,"Toronto, ON","$78,992–$85,753 a year",4.2,Data Analyst
392,CRW Data and Reporting Analyst,Coast Capital Savings,"Surrey, BC",,3.7,Data Analyst
393,Junior Clinical Trials Data Analyst (Hybrid),IQVIA,"Ottawa, ON",,3.8,Data Analyst
394,DATA ANALYST,Bureau Veritas,"Mississauga, ON",,3.7,Data Analyst
395,newAnalyste de données marketing /Marketing Data Analyst,Smardt,"Dorval, QC",,,Data Analyst
396,Data Analyst (Remote),Cognizant Microsoft Business Group,"Remote in Toronto, ON",,,Data Analyst
397,Portfolio Valuations Market Data Analyst,S&P Global,Remote in Ontario,,3.9,Data Analyst
398,Data/Pricing Analyst,Upwardly Careers,"Remote in Calgary, AB",,,Data Analyst
399,"Diversity, Equity, Inclusion & Belonging (DEIB) Analyst",Meridian Credit Union,"St. Catharines, ON",,3.7,Data Analyst
400,Technical Business Analyst (remote),Software International,"Remote in Mississauga, ON",$60–$70 an hour,,Data Analyst
401,Master Data Analyst,Metrie,"Vancouver, BC",,3.2,Data Analyst
402,newBusiness Analyst - Business Data,Desjardins,"Hybrid remote in Montréal, QC",,3.9,Data Analyst
403,Business Analyst,AlertDriving,"Toronto, ON",,,Data Analyst
404,Reservations Reporting Analyst,Four Seasons,"Toronto, ON",,4.2,Data Analyst
405,newBusiness Analyst - Business Data,Desjardins,"Hybrid remote in Montréal, QC",,3.9,Data Analyst
406,Business Analyst,AlertDriving,"Toronto, ON",,,Data Analyst
407,Reservations Reporting Analyst,Four Seasons,"Toronto, ON",,4.2,Data Analyst
408,Sustainability Analyst,JLL,"Toronto, ON",,3.7,Data Analyst
409,Business Analyst,Chef Brandz,"Mississauga, ON","$55,000–$60,000 a year",3.3,Data Analyst
410,Data Analyst,NAVBLUE,"Hybrid remote in Waterloo, ON",,3.9,Data Analyst
411,Portfolio Data Analyst,AstraNorth,"Toronto, ON","From $120,000 a year",,Data Analyst
412,newSenior Portfolio Data Fraud Analyst,CIBC,"Toronto, ON",,3.8,Data Analyst
413,Associate Business Analyst,Olympus Corporation of the Americas,"Richmond Hill, ON",,3.6,Data Analyst
414,Bus Application Analyst III,TD Bank,"Toronto, ON",,3.8,Data Analyst
415,newBusiness Systems Analyst - ServiceNow CMDB (Remote),Cognizant,"Remote in Kitchener, ON",,3.9,Data Analyst
416,Business Process Analyst,Myplanet,"Remote in Toronto, ON",,4.5,Data Analyst
417,"Media Experts - Data Analyst, Audience & Analytics",IPG Mediabrands,"Toronto, ON",,3.7,Data Analyst
418,"Business Analyst, Innovation",TD Bank,"Remote in Waterloo, ON",,3.8,Data Analyst
419,Decision Support Information Analyst,Ross Memorial Hospital,"Lindsay, ON",,4.2,Data Analyst
420,ADMN O 24R - Policy Analyst,BC Public Service,"Victoria, BC",,3.4,Data Analyst
421,Sustainable Operations Program Analyst,County of Simcoe,"Midhurst, ON",$27.12–$33.41 an hour,4.0,Data Analyst
422,newGlobal HRIS Analyst,ATS Automation Tooling Systems Inc.,"Cambridge, ON",,3.4,Data Analyst
423,"newCA - Jr. Business Analyst, FP&A - Mississauga - VitalAire",Air Liquide,Canada,,3.7,Data Analyst
424,newJunior Business Analyst - Co-Op Student,CGI,"Calgary, AB",,3.6,Data Analyst
425,newAsset Management Analyst,Halton Region,"Halton, ON",,3.8,Data Analyst
426,Analyst- Business and Systems,Canadian Red Cross,Remote,"$49,295–$71,889 a year",4.0,Data Analyst
427,newMurex Business Analyst - Generalist (Front Office / Back Off...,Luxoft,Remote,,,Data Analyst
428,newWorkload Analyst,Capgemini,"Remote in Toronto, ON",,3.8,Data Analyst
429,Sales Data Analyst,Mister Safety Shoes,"Hybrid remote in North York, ON",,3.1,Data Analyst
430,newProduct Analyst,Numeris,"Remote in Toronto, ON",,3.4,Data Analyst
431,newBusiness Analyst,Xpanxion,Remote,,,Data Analyst
432,"newAnalyst, Trade Development",Southern Glazer’s Wine and Spirits,"Toronto, ON",,3.5,Data Analyst
433,Junior Business Analyst,Norsat International Inc.,"Richmond, BC",,,Data Analyst
434,Senior Data Analyst,Deloitte,"Toronto, ON",,4.0,Data Analyst
435,newProduct Analyst,Numeris,"Remote in Toronto, ON",,3.4,Data Analyst
436,newBusiness Analyst,Xpanxion,Remote,,,Data Analyst
437,"newAnalyst, Trade Development",Southern Glazer’s Wine and Spirits,"Toronto, ON",,3.5,Data Analyst
438,Junior Business Analyst,Norsat International Inc.,"Richmond, BC",,,Data Analyst
439,Senior Data Analyst,Deloitte,"Toronto, ON",,4.0,Data Analyst
440,"analyst, database",ANAYA TECHNOLOGIES INC.,"Brampton, ON",$42 an hour,,Data Analyst
441,newData Engineer / Business Intelligence Developer (Remote),Trading Central,"Remote in Ottawa, ON",,,Data Analyst
442,newBusiness Systems Analyst,Questrade Financial Group,+1 locationRemote,,3.5,Data Analyst
443,Systems Analyst,ISG Search Inc,"Hybrid remote in Toronto, ON","Up to $90,000 a year",4.8,Data Analyst
444,Inventory Control Analyst,Mevotech LP,"Mississauga, ON","$50,000–$55,000 a year",3.3,Data Analyst
445,newBusiness Solutions Analyst (GIS),City of Abbotsford,"Abbotsford, BC",$40.58–$47.72 an hour,3.4,Data Analyst
446,Risk Analyst (Construction),Metrolinx,Canada,"$86,147 a year",3.9,Data Analyst
447,Data Analyst,CGI Inc,"Toronto, ON",,3.6,Data Analyst
448,Data Analyst and Programmer,University of Waterloo,"Waterloo, ON",,4.4,Data Analyst
449,Business Analyst,GHD,"Waterloo, ON",,3.6,Data Analyst
450,Business Analyst,GHD,"Waterloo, ON",,3.6,Data Analyst
451,Data Visualization Business Analyst,PHSA,"Burnaby, BC",$40.46 an hour,3.1,Data Analyst
452,Data and Process Analyst - Accreditation,University of Waterloo,"Waterloo, ON",,4.4,Data Analyst
453,Settlements Analyst,Peak Power,"Toronto, ON",,,Data Analyst
454,Quality Assurance Analyst,Pacific Blue Cross,"Burnaby, BC",,3.4,Data Analyst
455,newInventory Analyst - Supply Chain,St. Michael's Hospital,"Toronto, ON",$26.84–$34.90 an hour,4.1,Data Analyst
456,"CS-03 : Database Analyst, Database Developer, Data Modeller,...",Canada Revenue Agency,Temporarily Remote in Canada,"$91,483–$113,503 a year",4.0,Data Analyst
457,Business Analyst Intern (Fall - 4 months),IBM,"Toronto, ON",,3.9,Data Analyst
458,"Analyst, Business Intelligence",LifeWorks,"Remote in Montréal, QC",,3.1,Data Analyst
459,"Data Visualization Consultant, Omnia AI",Deloitte,"Toronto, ON",,4.0,Data Analyst
460,Junior Business Analyst,RPM TECHNOLOGIES CORP,"Toronto, ON",,3.5,Data Analyst
461,newSenior Financial Data Analyst,Simcorp,"Toronto, ON",,,Data Analyst
462,"Senior Analyst, Fraud Data Analytics (remote/hybrid)",Central 1 Credit Union,"Remote in Vancouver, BC","$82,000–$123,000 a year",2.8,Data Analyst
463,newBusiness Development Analyst - Fall 2022 Student - Personal...,Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
464,Sr. Data Analyst - Digital Audience,Rogers Communications,"Temporarily Remote in Toronto, ON",,3.7,Data Analyst
465,newIT Analyst II - Data Integration Developer,Alberta Health Services,"Calgary, AB",,3.8,Data Analyst
466,Data and Reporting Analyst,Vermilion Energy,"Calgary, AB",,3.5,Data Analyst
467,newRevenue & Pricing - Analyst I,Westjet Airlines,"Remote in Calgary, AB",,3.9,Data Analyst
468,newHR Systems and Reporting Analyst,Ritchie Bros.,"Hybrid remote in Burnaby, BC",,3.7,Data Analyst
469,newBusiness Analyst Transformation Office,Coast Capital Savings,"Remote in Surrey, BC",,3.7,Data Analyst
470,"Data Analyst – Power BI, SQL",AstraNorth,"Toronto, ON+2 locations","From $140,000 a year",,Data Analyst
471,newTechnical Data Analyst,Atlantis IT group,"Toronto, ON",,,Data Analyst
472,"Senior Analyst, Innovation and Data Insights",TD Bank,"Toronto, ON",,3.8,Data Analyst
473,Business Analyst,Thumbtack,"Remote in Toronto, ON",,,Data Analyst
474,newOperations Support Analyst - Crude Oil,Shell,"Calgary, AB",,3.9,Data Analyst
475,"Intermediate Business Analyst, Data and Analytics",Home Trust Company,"Toronto, ON",,3.6,Data Analyst
476,Data & Analytics - Senior Data Analyst,Aritzia,"Vancouver, BC",,3.4,Data Analyst
477,Pricing Analyst,"The Travelers Companies, Inc.","Toronto, ON",,3.7,Data Analyst
478,Sync Operator/Data Analyst,Util-Assist Inc.,"Remote in Newmarket, ON",,2.5,Data Analyst
479,Junior Pricing Analyst,Marks Supply Inc,"Kitchener, ON",,2.8,Data Analyst
480,Business Systems Analyst,CM2 Solutions Inc.,"Oshawa, ON",,,Data Analyst
481,Junior Pricing Analyst,Marks Supply Inc,"Kitchener, ON",,2.8,Data Analyst
482,QC Analyst 1 - Afternoon shift,Bimeda,Canada,,3.0,Data Analyst
483,Senior Analyst,Nissan,"Mississauga, ON",,3.8,Data Analyst
484,Senior Market Research Analyst,SAIT,"Calgary, AB","$72,098–$78,724 a year",4.0,Data Analyst
485,newBusiness System Analyst,CAPCO,"Toronto, ON",,3.4,Data Analyst
486,Market Intelligence Analyst,The Canadian Institute,"Toronto, ON","From $50,000 a year",3.0,Data Analyst
487,"Senior Analyst, Implementation",Ontario Health,Ontario,,4.3,Data Analyst
488,Real Estate Data Analyst,RMSI Inc,"Toronto, ON",,,Data Analyst
489,BI Analyst,SCI Group,"Etobicoke, ON",,3.6,Data Analyst
490,Data Analyst (Power BI) - REMOTE,Software International,"Remote in Toronto, ON",,,Data Analyst
491,CE Data Quality Analyst,Scarborough Health Network,"Toronto, ON",,4.0,Data Analyst
492,newIT Support and Application Support Analyst,Flexis,"Toronto, ON",,,Data Analyst
493,Marketing Analyst,Scribendi,"Remote in Chatham-Kent, ON",,,Data Analyst
494,Data Quality Analyst (Call Center),Johnson Controls,"Concord, ON",,3.7,Data Analyst
495,Quality Assurance Analyst - Data,CPQi,"Toronto, ON",,,Data Analyst
496,Senior Data Analyst,Unity Technologies,"Remote in Toronto, ON",,,Data Analyst
497,Business Intelligence Analyst / Analyste en informatique déc...,Labour Market Information Council,Remote,"$67,000–$77,000 a year",,Data Analyst
498,Supply and Logistics Analyst,Soucy Group,"Drummondville, QC",,3.7,Data Analyst
499,Analyst/Project Coordinator,Napoleon Products,"Barrie, ON","$52,000–$65,000 a year",,Data Analyst
500,"Analyst, BSC Logistics Materials",Labatt Breweries Canada,"Toronto, ON",,3.1,Data Analyst
501,"Data Quality and Management Analyst, Data Warehousing & Engi...",Questrade Financial Group,"Remote in Toronto, ON+1 location",,3.5,Data Analyst
502,Systems Performance Analyst,Canadian Solar,"Guelph, ON",,3.5,Data Analyst
503,newIT Business Analyst,Right to Play,"Toronto, ON","$73,000–$78,000 a year",4.1,Data Analyst
504,Data Visualization Analyst - Senior,Insurance Corporation of British Columbia,"Hybrid remote in North Vancouver, BC","$81,258–$88,019 a year",3.4,Data Analyst
505,Business System Analyst,Purple Drive Technologies,"Toronto, ON",From $55 an hour,,Data Analyst
506,"Ecommerce Business Analyst, Growth Strategy",Noticed LLC,Remote,"$95,000–$115,000 a year",,Data Analyst
507,newBusiness Growth Analyst,Corix,Remote in Canada,,3.3,Data Analyst
508,"Analyst, Pricing",Westjet Airlines,"Remote in Calgary, AB",,3.9,Data Analyst
509,newData Analyst,QHR Technologies Inc,"Vancouver, BC+3 locations",,3.6,Data Analyst
510,"Analyst I, Identity and Access Management",Moneris Solutions,"Remote in Toronto, ON",,3.4,Data Analyst
511,Investment Banking Analyst,Raymond James Financial,"Vancouver, BC",,3.8,Data Analyst
512,Data Analytics Consultant (Tableau),Calligo,"Oakville, ON",,,Data Analyst
513,"Analyst, Engineering V&V",General Dynamics Missions Systems-Canada,"Ottawa, ON",,3.8,Data Analyst
514,Senior Data Analyst,Wave,"Toronto, ON",,3.3,Data Analyst
515,newSenior Data Integration Infrastructure Analyst,Sun Life Financial,"Temporarily Remote in Waterloo, ON+2 locations",,3.9,Data Analyst
516,Business Analyst,WBM TECHNOLOGIES INC.,"Vancouver, BC+1 location",,3.3,Data Analyst
517,newPricing Analyst,Inland Truck & Equipment,"Burnaby, BC+1 location",,,Data Analyst
518,newPortfolio Planning Analyst,Oracle,Canada,,3.8,Data Analyst
519,Data Analyst,ContactPoint 360,"Mississauga, ON",,4.2,Data Analyst
520,Data Centre Analyst,University of New Brunswick,"Fredericton, NB","$48,524–$63,081 a year",4.2,Data Analyst
521,newHotshot Traffic / Supply Chain analyst Fresh Food,Stealth Global Fresh Food Player,"Toronto, ON","$56,000–$62,000 a year",,Data Analyst
522,Master Data Analyst,FMC Corporation,"Calgary, AB",,4.0,Data Analyst
523,Jr. Business Analyst,The Portage Mutual Insurance Company,"Winnipeg, MB","From $40,000 a year",4.0,Data Analyst
524,Business Analyst,Myers-Holum,"Remote in Toronto, ON",,,Data Analyst
525,Senior Data Analyst,Calibery Software LLC,"Toronto, ON","$51,411–$108,688 a year",,Data Analyst
526,Data Analyst (BI&A),Bristol Myers Squibb,"Montréal, QC",,4.1,Data Analyst
527,newData Support Analyst [Remote PST],MindBridge Ai,"Remote in Ottawa, ON",,,Data Analyst
528,PAID INTERNSHIP - Sales and Category Analyst,Monster Energy,"Toronto, ON",,4.1,Data Analyst
529,Technical Business Analyst,Altus Group,"Aurora, ON",,2.7,Data Analyst
530,newBusiness Analyst,First Pay,"Temporarily Remote in Toronto, ON","$40,000–$50,000 a year",,Data Analyst
531,"Business Analyst, Supplier Inclusion and Diversity - IDEA",Lululemon,"Vancouver, BC",,4.2,Data Analyst
532,Business Systems Analyst,City of Coquitlam,"Remote in Coquitlam, BC",$45.68–$53.97 an hour,4.2,Data Analyst
533,Research Analyst 2 - Sunnybrook Research Institute - Tempora...,Sunnybrook Health Sciences Centre,"Toronto, ON",,4.1,Data Analyst
534,newBusiness Intelligence Data Engineer,Maximus,"Remote in Victoria, BC",,3.2,Data Analyst
535,newStrategic Performance Analyst,Metrolinx,Canada,"$75,940 a year",3.9,Data Analyst
536,Inventory Control Analyst,T&T Supermarket,"Richmond, BC",,3.3,Data Analyst
537,Data Analyst - Jr. Developer,PBS Systems,"Calgary, AB",,2.4,Data Analyst
538,Statistical Programmer Analyst,SCiAN Services,"Toronto, ON",,,Data Analyst
539,newPassport Business Analyst,Canopy Support Services,"Peterborough, ON",,3.6,Data Analyst
540,newBusiness Intelligence Data Engineer,Maximus,"Remote in Victoria, BC",,3.2,Data Analyst
541,newStrategic Performance Analyst,Metrolinx,Canada,"$75,940 a year",3.9,Data Analyst
542,Inventory Control Analyst,T&T Supermarket,"Richmond, BC",,3.3,Data Analyst
543,Data Analyst - Jr. Developer,PBS Systems,"Calgary, AB",,2.4,Data Analyst
544,Statistical Programmer Analyst,SCiAN Services,"Toronto, ON",,,Data Analyst
545,newPassport Business Analyst,Canopy Support Services,"Peterborough, ON",,3.6,Data Analyst
546,"Senior Analyst, Data Management - IT",Johnson & Johnson,"Markham, ON",,4.2,Data Analyst
547,Business Analyst Co-op [Ecosystem],CaseWare IDEA,Ontario,,,Data Analyst
548,People Operations Analyst,Dapper Labs,Remote,,,Data Analyst
549,newQuality Control Analyst,STEMCELL Technologies,"Vancouver, BC",,3.8,Data Analyst
550,Senior Business Analyst,Royal Bank of Canada,"Toronto, ON+1 location",,4.0,Data Analyst
551,IT Data Analyst - Capital Markets,AstraNorth,"Toronto, ON","From $130,000 a year",,Data Analyst
552,Quality Data Analyst,Vancouver Shipyards,"North Vancouver, BC",,3.4,Data Analyst
553,newDigital Business Analyst - Contact Centre,The Home Depot Canada,"Remote in Scarborough, ON",,3.7,Data Analyst
554,Junior Systems Analyst (RQ03663),AMANST Inc,"Toronto, ON",,,Data Analyst
555,newBusiness Analyst/Consultant,Quad Infotech,"North York, ON",,,Data Analyst
556,newInformation Systems Analyst,University of Waterloo,"Waterloo, ON",,4.4,Data Analyst
557,newDecision Support Data Extraction Analyst,Home and Community Care Support Services Central...,"Whitby, ON",,3.8,Data Analyst
558,newBusiness Analyst,Total Credit Recovery,"North York, ON","$45,000–$55,000 a year",3.0,Data Analyst
559,Business Analyst - Incident Data (remote),Software International,"Remote in Brampton, ON",$110–$120 an hour,,Data Analyst
560,AltaGas - Financial Data Analyst,AltaGas,"Calgary, AB",,3.5,Data Analyst
561,Quality Analyst - Data migration and ETL testing,Dawn InfoTek Inc.,"Toronto, ON",$65–$85 an hour,,Data Analyst
562,Outbound Transportation Analyst,National Tire Distributors,"Burlington, ON",,2.9,Data Analyst
563,Business Analyst (Toronto),StackAdapt,Canada,,4.5,Data Analyst
564,Geophysical Data Analyst,Nanometrics Inc,"Ottawa, ON",,3.5,Data Analyst
565,"newBusiness Intelligence Analyst, Student",Bell Canada,"Montréal, QC",,3.7,Data Analyst
566,"Procurement Operations Analyst - Brampton, ON","AMZN CAN Fulfillment Svcs, ULC","Brampton, ON+1 location",,3.5,Data Analyst
567,Intern- Business Intelligence Analyst,FLEETCOR,"Temporarily Remote in Toronto, ON",,3.1,Data Analyst
568,Data and Research Analyst,Alberta Health Services,"Edmonton, AB",,3.8,Data Analyst
569,newBusiness Analyst,TD Bank,"Toronto, ON",,3.8,Data Analyst
570,"newBusiness Intelligence Analyst, Student",Bell Canada,"Montréal, QC",,3.7,Data Analyst
571,Business Applications Support Analyst,Westcan Bulk Transport Ltd .,"Remote in Edmonton, AB",,3.0,Data Analyst
572,"Procurement Operations Analyst - Brampton, ON","AMZN CAN Fulfillment Svcs, ULC","Brampton, ON+1 location",,3.5,Data Analyst
573,Intern- Business Intelligence Analyst,FLEETCOR,"Temporarily Remote in Toronto, ON",,3.1,Data Analyst
574,Data and Research Analyst,Alberta Health Services,"Edmonton, AB",,3.8,Data Analyst
575,newBusiness Analyst,TD Bank,"Toronto, ON",,3.8,Data Analyst
576,newBusiness Analyst (CDR-CP33-010),Bethany Care Society,"Calgary, AB",,3.4,Data Analyst
577,Senior Data Analyst,ATCS Inc.,"Toronto, ON",,,Data Analyst
578,Marketing Analyst,ARZ Fine Foods,"North York, ON",,3.8,Data Analyst
579,"newSr. Business Analyst, ProServe Operations","Amazon Web Services Canada, In","Hybrid remote in Toronto, ON+1 location",,,Data Analyst
580,"AI Engineering Business Analyst, Intact Lab",Intact,"Toronto, ON+1 location",,3.8,Data Analyst
581,Data Analyst (Operations and Supply Chain),Husky Injection Molding,"Bolton, ON",,3.7,Data Analyst
582,Sr. Data Analyst,Cognizant,"Toronto, ON",,3.9,Data Analyst
583,Senior Data Analyst,Hitachi Solutions Ltd,"Toronto, ON",,3.8,Data Analyst
584,Business Analyst,Luxoft,Remote,,,Data Analyst
585,Project Control Analyst - Remote,EMMES,"Remote in Vancouver, BC",,,Data Analyst
586,Data Quality Analyst - SAP,Software International,"Mississauga, ON",,,Data Analyst
587,Junior Power Analyst,Dynasty Power Inc.,"Calgary, AB",,,Data Analyst
588,Data Analyst,Cogeco Communications Inc.,"Montréal, QC",,3.7,Data Analyst
589,"newSenior Analyst, Balance Sheet Management",BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
590,"Data Analyst, Valuation & Advisory Services (Western Region)",Avison Young Canada,"Edmonton, AB",,,Data Analyst
591,newAnalytics Business Analyst,Coast Capital Savings,"Surrey, BC",,3.7,Data Analyst
592,Business Analyst - Technical,BMO Financial Group,"Toronto, ON",,3.8,Data Analyst
593,newBusiness Analyst I – Quality Management,Metro Vancouver,"Burnaby, BC","$6,493–$7,672 a month",3.7,Data Analyst
594,Supply Chain Analyst,Cascades,"Candiac, QC",,3.1,Data Analyst
595,"Business Data Analyst - Government & Public Sector, Omnia AI",Deloitte,Canada,,4.0,Data Analyst
596,Remarketing Pricing Analyst,Nissan,"Mississauga, ON",,3.8,Data Analyst
597,"newSenior Analyst, Data Science",International Air Transport Association (IATA),"Montréal, QC",,3.8,Data Analyst
598,Securitization and Funding Analyst,Central 1 Credit Union,"Hybrid remote in Toronto, ON",,2.8,Data Analyst
599,Supply Chain Data Analyst,OCS,"Toronto, ON",,4.0,Data Analyst
600,newMaximo Business Analyst,North West Redwater Partnership,"Sturgeon County, AB",,3.8,Data Analyst
601,"Analyst, CRM Support & Operations (18-month contract)",Deloitte,Canada,,4.0,Data Analyst
602,Business Analyst,Isobar,"Toronto, ON",,,Data Analyst
603,Data Analyst - Member Value / LTV,MindGeek Careers,"Montréal, QC",,3.3,Data Analyst
604,"Data analyst, Business banking",Laurentian Bank,"Montréal, QC",,3.6,Data Analyst
605,Data Analyst,JLL,"Toronto, ON",,3.7,Data Analyst
606,EDI Business Analyst,Epsilon Solutions,"Remote in Mississauga, ON",$21–$25 an hour,,Data Analyst
607,newRPA Business Analyst,Charger Logistics Inc,"Brampton, ON",,,Data Analyst
608,Data Ops Analyst,Okta,"Remote in Toronto, ON",,,Data Analyst
609,Junior Business Analyst,Pivotree,+2 locationsRemote,,1.5,Data Analyst
610,Data Analyst - Threat Lab,Integral Ad Science,"Toronto, ON",,,Data Analyst
611,"Master Data Analyst, Supply Chain-Contract 1 Year","Diversey, Inc.","Remote in London, ON",,3.7,Data Analyst
612,newSenior Data Analyst,National Bank of Canada,"Montréal, QC",,3.9,Data Analyst
613,"newData Analyst, Warehouse Operations",Recycling Rewards,"North York, ON",$19 an hour,3.8,Data Analyst
614,newCredit Analyst,Brock White,"Langley, BC","From $60,000 a year",4.2,Data Analyst
615,newPolicy Analyst,Grant MacEwan University,"Edmonton, AB",,4.2,Data Analyst
616,newProgrammer/Data Analyst – Intermediate,Cosmo Music Company Ltd,"Richmond Hill, ON","$65,000–$75,000 a year",,Data Analyst
617,Digital Analyst,Indigo Books & Music,"Toronto, ON",,4.0,Data Analyst
618,Research Analyst,Yukon University,"Whitehorse, YT",$35.81–$42.63 an hour,,Data Analyst
619,Physical Security Analyst (New Grad) Summer 2022 start,BMO Financial Group,"Montréal, QC",,3.8,Data Analyst
620,Business + Data Analyst,Kitchen Hub,"Toronto, ON",,,Data Analyst
621,Catastrophe Modelling Analyst,Intact,"Toronto, ON+1 location",,3.8,Data Analyst
622,Quantitative Analyst Intern (Mitacs Internship),1QBit,"Remote in Vancouver, BC",,,Data Analyst
623,Business Systems Analyst,BDO,"Toronto, ON",,3.6,Data Analyst
624,newMedia Insights Analyst (R0998529),Merkle,"Montréal, QC+1 location",,,Data Analyst
625,Data Engineer (Business Analyst),Alimentiv,"Remote in Toronto, ON+2 locations",,,Data Analyst
626,Pricing Analyst,Toppan Merrill,"Toronto, ON",,,Data Analyst
627,newPricing Analyst,Radiant Canada,"Remote in Mississauga, ON",,3.1,Data Analyst
628,Business Systems Analyst (Healthcare Applications),Jonah Group,"Toronto, ON",,4.4,Data Analyst
629,"GBP Analyst, Strategic Pricing - Fall 2022 Internship",Scotiabank,"Toronto, ON",,3.9,Data Analyst
630,Business Analyst,Vancouver Coastal Health,"Vancouver, BC+1 location",$33.35–$47.94 an hour,3.7,Data Analyst
631,"Business System Analyst – SQL, Data",AstraNorth,"Toronto, ON",,,Data Analyst
632,Business Analyst,ISG Search Inc,"Toronto, ON+1 location",,4.8,Data Analyst
633,business systems analyst,System Micro Technology and Consulting Corp,"Oakville, ON",$41.60 an hour,,Data Analyst
634,Operations Business Analyst,CAARY,"Toronto, ON",,,Data Analyst
635,newAccounting Analyst,Hypertec Systems,"Hybrid remote in Saint-Laurent, QC",,,Data Analyst
636,newBusiness Analyst II (Online Services),CI Financial,"Toronto, ON",,3.1,Data Analyst
637,data warehouse analyst,VISAY TECHNOLOGIES INC,"Edmonton, AB",$42.05 an hour,,Data Analyst
638,newBusiness Intelligence Analyst,Plooto,"Toronto, ON",,,Data Analyst
639,newSr IAM Compliance Analyst - Opportunity for Working Remotely...,VMware,"Remote in Toronto, ON+6 locations",,4.1,Data Analyst
640,Client Intelligence Associate - Data Visualization (Tableau),Royal Bank of Canada,"Toronto, ON",,4.0,Data Analyst
